lecture video A index,lecture video A title,lecture video A site,lecture video B index,lecture video B title,lecture video B site,vote result
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,15,polynomial and power functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/tW3Lt/polynomial-and-power-functions,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,16,composite functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/X4BIL/composite-functions,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,17,inverse functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/FcZyj/inverse-functions,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,18,the exponential function,https://www.coursera.org/learn/introduction-to-calculus/lecture/mvPay/the-exponential-function,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,19,the logarithmic function,https://www.coursera.org/learn/introduction-to-calculus/lecture/CYiY7/the-logarithmic-function,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,20,exponential growth and decay,https://www.coursera.org/learn/introduction-to-calculus/lecture/wBdss/exponential-growth-and-decay,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,21,sine cosine and tangent,https://www.coursera.org/learn/introduction-to-calculus/lecture/ymKdB/sine-cosine-and-tangent,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,23,inverse circular functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/pXOoI/inverse-circular-functions,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,25,slopes and average rates of change,https://www.coursera.org/learn/introduction-to-calculus/lecture/MDrBm/slopes-and-average-rates-of-change,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,28,different kinds of limits,https://www.coursera.org/learn/introduction-to-calculus/lecture/KVVev/different-kinds-of-limits,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,30,limits and continuity,https://www.coursera.org/learn/introduction-to-calculus/lecture/r7868/limits-and-continuity,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,38,sign diagrams,https://www.coursera.org/learn/introduction-to-calculus/lecture/mZV4W/sign-diagrams,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,41,curve sketching,https://www.coursera.org/learn/introduction-to-calculus/lecture/yNkJk/curve-sketching,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,42,the chain rule,https://www.coursera.org/learn/introduction-to-calculus/lecture/UO0Vw/the-chain-rule,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,45,applications of the product rule,https://www.coursera.org/learn/introduction-to-calculus/lecture/zqKnl/applications-of-the-product-rule,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,48,optimisation,https://www.coursera.org/learn/introduction-to-calculus/lecture/YnG2t/optimisation,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,49,the second derivative test,https://www.coursera.org/learn/introduction-to-calculus/lecture/v1UcB/the-second-derivative-test,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,52,areas bounded by curves,https://www.coursera.org/learn/introduction-to-calculus/lecture/g5SNw/areas-bounded-by-curves,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,53,riemann sums and definite integrals,https://www.coursera.org/learn/introduction-to-calculus/lecture/naOHr/riemann-sums-and-definite-integrals,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,54,the fundamental theorem of calculus and indefinite integrals,https://www.coursera.org/learn/introduction-to-calculus/lecture/WX1hh/the-fundamental-theorem-of-calculus-and-indefinite-integrals,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,57,integration by substitution part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/ATYjZ/integration-by-substitution-part-1,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,58,integration by substitution part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/smxO5/integration-by-substitution-part-2,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,62,the logistic function part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/7MK92/the-logistic-function-part-2,0
1,welcome and introduction to module 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/Gdeb1/welcome-and-introduction-to-module-1,63,the escape velocity of a rocket,https://www.coursera.org/learn/introduction-to-calculus/lecture/WBOa9/the-escape-velocity-of-a-rocket,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,8,coordinate systems,https://www.coursera.org/learn/introduction-to-calculus/lecture/2tKGg/coordinate-systems,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,11,introduction to module 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/339mr/introduction-to-module-2,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,16,composite functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/X4BIL/composite-functions,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,21,sine cosine and tangent,https://www.coursera.org/learn/introduction-to-calculus/lecture/ymKdB/sine-cosine-and-tangent,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,22,the unit circle and trigonometry,https://www.coursera.org/learn/introduction-to-calculus/lecture/B27eO/the-unit-circle-and-trigonometry,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,24,introduction to module 3,https://www.coursera.org/learn/introduction-to-calculus/lecture/K1zHY/introduction-to-module-3,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,25,slopes and average rates of change,https://www.coursera.org/learn/introduction-to-calculus/lecture/MDrBm/slopes-and-average-rates-of-change,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,26,displacement velocity and acceleration,https://www.coursera.org/learn/introduction-to-calculus/lecture/HTiQ8/displacement-velocity-and-acceleration,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,27,tangent lines and secants,https://www.coursera.org/learn/introduction-to-calculus/lecture/se5Va/tangent-lines-and-secants,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,28,different kinds of limits,https://www.coursera.org/learn/introduction-to-calculus/lecture/KVVev/different-kinds-of-limits,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,29,limit laws,https://www.coursera.org/learn/introduction-to-calculus/lecture/OZvUR/limit-laws,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,30,limits and continuity,https://www.coursera.org/learn/introduction-to-calculus/lecture/r7868/limits-and-continuity,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,31,the derivative as a limit,https://www.coursera.org/learn/introduction-to-calculus/lecture/k0N5O/the-derivative-as-a-limit,1
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,36,introduction to module 4,https://www.coursera.org/learn/introduction-to-calculus/lecture/djq5C/introduction-to-module-4,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,41,curve sketching,https://www.coursera.org/learn/introduction-to-calculus/lecture/yNkJk/curve-sketching,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,42,the chain rule,https://www.coursera.org/learn/introduction-to-calculus/lecture/UO0Vw/the-chain-rule,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,49,the second derivative test,https://www.coursera.org/learn/introduction-to-calculus/lecture/v1UcB/the-second-derivative-test,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,53,riemann sums and definite integrals,https://www.coursera.org/learn/introduction-to-calculus/lecture/naOHr/riemann-sums-and-definite-integrals,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,57,integration by substitution part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/ATYjZ/integration-by-substitution-part-1,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,58,integration by substitution part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/smxO5/integration-by-substitution-part-2,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,59,odd and even functions part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/zrkmT/odd-and-even-functions-part-1,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,61,the logistic function part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/KEUnf/the-logistic-function-part-1,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,62,the logistic function part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/7MK92/the-logistic-function-part-2,0
2,real line decimals and significant figures,https://www.coursera.org/learn/introduction-to-calculus/lecture/YHCSH/real-line-decimals-and-significant-figures,63,the escape velocity of a rocket,https://www.coursera.org/learn/introduction-to-calculus/lecture/WBOa9/the-escape-velocity-of-a-rocket,1
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,1
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,11,introduction to module 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/339mr/introduction-to-module-2,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,12,parabolas and quadratics,https://www.coursera.org/learn/introduction-to-calculus/lecture/XI618/parabolas-and-quadratics,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,16,composite functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/X4BIL/composite-functions,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,22,the unit circle and trigonometry,https://www.coursera.org/learn/introduction-to-calculus/lecture/B27eO/the-unit-circle-and-trigonometry,1
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,24,introduction to module 3,https://www.coursera.org/learn/introduction-to-calculus/lecture/K1zHY/introduction-to-module-3,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,25,slopes and average rates of change,https://www.coursera.org/learn/introduction-to-calculus/lecture/MDrBm/slopes-and-average-rates-of-change,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,26,displacement velocity and acceleration,https://www.coursera.org/learn/introduction-to-calculus/lecture/HTiQ8/displacement-velocity-and-acceleration,1
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,27,tangent lines and secants,https://www.coursera.org/learn/introduction-to-calculus/lecture/se5Va/tangent-lines-and-secants,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,28,different kinds of limits,https://www.coursera.org/learn/introduction-to-calculus/lecture/KVVev/different-kinds-of-limits,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,29,limit laws,https://www.coursera.org/learn/introduction-to-calculus/lecture/OZvUR/limit-laws,1
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,30,limits and continuity,https://www.coursera.org/learn/introduction-to-calculus/lecture/r7868/limits-and-continuity,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,31,the derivative as a limit,https://www.coursera.org/learn/introduction-to-calculus/lecture/k0N5O/the-derivative-as-a-limit,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,34,differentials and applications part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/pbxLi/differentials-and-applications-part-1,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,35,differentials and applications part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/RTRQ2/differentials-and-applications-part-2,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,36,introduction to module 4,https://www.coursera.org/learn/introduction-to-calculus/lecture/djq5C/introduction-to-module-4,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,41,curve sketching,https://www.coursera.org/learn/introduction-to-calculus/lecture/yNkJk/curve-sketching,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,42,the chain rule,https://www.coursera.org/learn/introduction-to-calculus/lecture/UO0Vw/the-chain-rule,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,49,the second derivative test,https://www.coursera.org/learn/introduction-to-calculus/lecture/v1UcB/the-second-derivative-test,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,53,riemann sums and definite integrals,https://www.coursera.org/learn/introduction-to-calculus/lecture/naOHr/riemann-sums-and-definite-integrals,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,57,integration by substitution part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/ATYjZ/integration-by-substitution-part-1,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,58,integration by substitution part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/smxO5/integration-by-substitution-part-2,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,59,odd and even functions part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/zrkmT/odd-and-even-functions-part-1,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,61,the logistic function part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/KEUnf/the-logistic-function-part-1,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,62,the logistic function part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/7MK92/the-logistic-function-part-2,0
3,the theorem of pythagoras and properties of the square root of 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/b0jBv/the-theorem-of-pythagoras-and-properties-of-the-square-root-of-2,63,the escape velocity of a rocket,https://www.coursera.org/learn/introduction-to-calculus/lecture/WBOa9/the-escape-velocity-of-a-rocket,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,5,equations and inequalities,https://www.coursera.org/learn/introduction-to-calculus/lecture/GXs8P/equations-and-inequalities,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,6,sign diagrams solution sets and intervals part 1,https://www.coursera.org/learn/introduction-to-calculus/lecture/HtwaG/sign-diagrams-solution-sets-and-intervals-part-1,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,7,sign diagrams solution sets and intervals part 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/mFOOl/sign-diagrams-solution-sets-and-intervals-part-2,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,9,distance and absolute value,https://www.coursera.org/learn/introduction-to-calculus/lecture/uYxXt/distance-and-absolute-value,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,10,lines and circles in the plane,https://www.coursera.org/learn/introduction-to-calculus/lecture/IG1E7/lines-and-circles-in-the-plane,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,11,introduction to module 2,https://www.coursera.org/learn/introduction-to-calculus/lecture/339mr/introduction-to-module-2,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,12,parabolas and quadratics,https://www.coursera.org/learn/introduction-to-calculus/lecture/XI618/parabolas-and-quadratics,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,14,functions as rules with domain range and graph,https://www.coursera.org/learn/introduction-to-calculus/lecture/IxW5B/functions-as-rules-with-domain-range-and-graph,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,15,polynomial and power functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/tW3Lt/polynomial-and-power-functions,abandon
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,16,composite functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/X4BIL/composite-functions,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,18,the exponential function,https://www.coursera.org/learn/introduction-to-calculus/lecture/mvPay/the-exponential-function,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,20,exponential growth and decay,https://www.coursera.org/learn/introduction-to-calculus/lecture/wBdss/exponential-growth-and-decay,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,22,the unit circle and trigonometry,https://www.coursera.org/learn/introduction-to-calculus/lecture/B27eO/the-unit-circle-and-trigonometry,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,23,inverse circular functions,https://www.coursera.org/learn/introduction-to-calculus/lecture/pXOoI/inverse-circular-functions,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,24,introduction to module 3,https://www.coursera.org/learn/introduction-to-calculus/lecture/K1zHY/introduction-to-module-3,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,25,slopes and average rates of change,https://www.coursera.org/learn/introduction-to-calculus/lecture/MDrBm/slopes-and-average-rates-of-change,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,26,displacement velocity and acceleration,https://www.coursera.org/learn/introduction-to-calculus/lecture/HTiQ8/displacement-velocity-and-acceleration,1
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,27,tangent lines and secants,https://www.coursera.org/learn/introduction-to-calculus/lecture/se5Va/tangent-lines-and-secants,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,28,different kinds of limits,https://www.coursera.org/learn/introduction-to-calculus/lecture/KVVev/different-kinds-of-limits,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,29,limit laws,https://www.coursera.org/learn/introduction-to-calculus/lecture/OZvUR/limit-laws,0
4,algebraic expressions surds and approximations,https://www.coursera.org/learn/introduction-to-calculus/lecture/kHYi4/algebraic-expressions-surds-and-approximations,30,limits and continuity,https://www.coursera.org/learn/introduction-to-calculus/lecture/r7868/limits-and-continuity,0
